AREA	MAIN BOARD OR SUBBOARD	BOARD NAME	OTHER BOARDS LINKED FROM THIS BOARD	WORDS ON BOARD
Home	Main Board	MAIN	My School	people at school, teaching assistant, yellow lanyard, tutor team, duty staff, head teacher, office staff, first aid staff, dinner hall, drivers & escorts, speech & language, friends
Home	Main Board	MAIN	People	teacher, teaching assistant, yellow lanyard, tutor team, duty staff, head teacher, office staff, first aid staff, dinner hall, drivers & escorts, speech & language, friends
Home	Main Board	MAIN	Common Words	I want, I need, I like, I don't like, help, please, thank you, sorry, yes, no, more, stop, go, wait, turn, look, listen, eat, drink, play, learn
Home	Main Board	MAIN	Feelings	happy, sad, angry, scared, excited, tired, hungry, thirsty, sick, hurt, love, like, don't like, want, need, help, please, thank you, sorry
Home	Main Board	MAIN	Colours	red, blue, green, yellow, orange, purple, pink, brown, black, white, grey, light, dark, big, small, favorite, color
Home	Main Board	MAIN	Numbers	one, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen, nineteen, twenty
Home	Main Board	MAIN	Alphabet	A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z
Home	Main Board	MAIN	Animals	Buildings, Rooms & Home, Furniture, Habitats, Local Places, dog, cat, horse, cow, pig, sheep, chicken, duck, bird, fish, rabbit, mouse, hamster, guinea pig
Home	Main Board	MAIN	Places	Buildings, Rooms & Home, Furniture, Habitats, Local Places, home, school, park, shop, hospital, doctor, dentist, library, church, restaurant, cafe, cinema, swimming pool
Home	Main Board	MAIN	Time	Buildings, Rooms & Home, Furniture, Habitats, Local Places, morning, afternoon, evening, night, today, tomorrow, yesterday, now, later, soon, early, late, clock, watch, calendar
Home	Main Board	MAIN	Weather	Buildings, Rooms & Home, Furniture, Habitats, Local Places, sunny, cloudy, rainy, snowy, windy, hot, cold, warm, cool, storm, thunder, lightning, rainbow, fog, mist
Home	Main Board	MAIN	Food & Drink	Buildings, Rooms & Home, Furniture, Habitats, Local Places, apple, banana, orange, pear, grapes, strawberry, watermelon, bread, cheese, milk, water, juice, tea, coffee
