folder,status,detail
Characters\Arabian and Middle Eastern Tales,processed,tiles=30, images=5
Characters\Arthurian Legend,processed,tiles=25, images=21
Characters\Asian Legends and Folklore,processed,tiles=30, images=14
Characters\Biblical and Ancient Legendary Figures,processed,tiles=15, images=12
Characters\Books,processed,tiles=50, images=49
Characters\Computer Games,processed,tiles=90, images=87
Characters\Creatures and Races,processed,tiles=45, images=42
Characters\Famous Monsters and Horror Icons,processed,tiles=30, images=5
Characters\Heroes and Monsters (Greek and Roman),processed,tiles=40, images=37
Characters\Legendary Heroes and Folk Heroes,processed,tiles=30, images=16
Characters\Literary and Gothic Characters,processed,tiles=30, images=28
Characters\Robin Hood and English Folklore,processed,tiles=10, images=10
Characters\Star Trek,processed,tiles=30, images=14
Characters\Star Wars,processed,tiles=50, images=50
Characters\The Lord Of The Rings,processed,tiles=30, images=4
Characters\The Muppets,processed,tiles=40, images=37
Characters\X-Men,processed,tiles=15, images=1
Characters\DC\Aquaman,processed,tiles=10, images=6
Characters\DC\Bat Family,processed,tiles=50, images=46
Characters\DC\Doom Patrol,processed,tiles=15, images=13
Characters\DC\Green Arrow,processed,tiles=15, images=14
Characters\DC\Green Lantern,processed,tiles=20, images=17
Characters\DC\Justice League,processed,tiles=15, images=11
Characters\DC\Justice League Dark  Supernatural,processed,tiles=10, images=8
Characters\DC\Justice Society Of America (JSA),processed,tiles=10, images=8
Characters\DC\Legends Of Tomorrow,processed,tiles=25, images=22
Characters\DC\New Gods, Apokolips and Cosmic Villains,processed,tiles=10, images=9
Characters\DC\Other Teams,processed,tiles=5, images=4
Characters\DC\Shazam,processed,tiles=10, images=7
Characters\DC\Super Family,processed,tiles=15, images=15
Characters\DC\Teen Titans,processed,tiles=10, images=7
Characters\DC\The Flash,processed,tiles=35, images=34
Characters\DC\Wonder Woman,processed,tiles=10, images=10
Characters\Disney Stories\1937 Snow White and The Seven Dwarfs,processed,tiles=15, images=10
Characters\Disney Stories\1953 Peter Pan,processed,tiles=10, images=9
Characters\Disney Stories\1955 Lady and The Tramp,processed,tiles=10, images=8
Characters\Disney Stories\1959 Sleeping Beauty,processed,tiles=10, images=9
Characters\Disney Stories\1961 101 Dalmatians,processed,tiles=15, images=10
Characters\Disney Stories\1963 The Sword In The Stone,processed,tiles=10, images=9
Characters\Disney Stories\1967 The Jungle Book,processed,tiles=15, images=9
Characters\Disney Stories\1970 The Aristocats,processed,tiles=15, images=12
Characters\Disney Stories\1973 Robin Hood,processed,tiles=15, images=10
Characters\Disney Stories\1977 The Rescuers,processed,tiles=10, images=9
Characters\Disney Stories\1977 Winnie The Pooh,processed,tiles=15, images=9
Characters\Disney Stories\1981 The Fox and The Hound,processed,tiles=30, images=12
Characters\Disney Stories\1985 The Black Cauldron,processed,tiles=30, images=12
Characters\Disney Stories\1986 The Great Mouse Detective,processed,tiles=30, images=10
Characters\Disney Stories\1988 Oliver and Company,processed,tiles=30, images=12
Characters\Disney Stories\1989 The Little Mermaid,processed,tiles=15, images=11
Characters\Disney Stories\1991 Beauty and The Beast,processed,tiles=15, images=10
Characters\Disney Stories\1992 Aladdin,processed,tiles=10, images=9
Characters\Disney Stories\1993 The Nightmare Before Christmas,processed,tiles=10, images=8
Characters\Disney Stories\1994 The Lion King,processed,tiles=15, images=11
Characters\Disney Stories\1995 Pocahontas,processed,tiles=15, images=10
Characters\Disney Stories\1995 Toy Story,processed,tiles=15, images=15
Characters\Disney Stories\1996 The Hunchback Of Notre Dame,processed,tiles=10, images=8
Characters\Disney Stories\1997 Hercules,processed,tiles=35, images=33
Characters\Disney Stories\1998 A Bug's Life,processed,tiles=30, images=14
Characters\Disney Stories\1998 Mulan,processed,tiles=10, images=9
Characters\Disney Stories\1999 Tarzan,processed,tiles=10, images=9
Characters\Disney Stories\2000 Dinosaur,processed,tiles=30, images=13
Characters\Disney Stories\2000 The Emperor's New Groove,processed,tiles=30, images=12
Characters\Disney Stories\2001 Atlantis - The Lost Empire,processed,tiles=30, images=12
Characters\Disney Stories\2001 Monsters, Inc,processed,tiles=25, images=21
Characters\Disney Stories\2002 Lilo and Stitch,processed,tiles=15, images=11
Characters\Disney Stories\2002 Treasure Planet,processed,tiles=10, images=9
Characters\Disney Stories\2003 Brother Bear,processed,tiles=30, images=18
Characters\Disney Stories\2003 Finding Nemo,processed,tiles=15, images=12
Characters\Disney Stories\2004 Home On The Range,processed,tiles=30, images=12
Characters\Disney Stories\2004 The Incredibles,processed,tiles=20, images=19
Characters\Disney Stories\2005 Chicken Little,processed,tiles=30, images=11
Characters\Disney Stories\2006 Cars,processed,tiles=15, images=12
Characters\Disney Stories\2007 Meet The Robinsons,processed,tiles=30, images=14
Characters\Disney Stories\2007 Ratatouille,processed,tiles=30, images=12
Characters\Disney Stories\2008 Bolt,processed,tiles=10, images=8
Characters\Disney Stories\2008 WALL-E,processed,tiles=10, images=9
Characters\Disney Stories\2009 The Princess and The Frog,processed,tiles=10, images=10
Characters\Disney Stories\2009 Up,processed,tiles=10, images=9
Characters\Disney Stories\2010 Tangled,processed,tiles=15, images=12
Characters\Disney Stories\2012 Brave,processed,tiles=10, images=9
Characters\Disney Stories\2012 Wreck-It Ralph,processed,tiles=10, images=9
Characters\Disney Stories\2013 Frozen,processed,tiles=35, images=28
Characters\Disney Stories\2014 Big Hero 6,processed,tiles=20, images=15
Characters\Disney Stories\2015 Inside Out,processed,tiles=15, images=15
Characters\Disney Stories\2015 The Good Dinosaur,processed,tiles=30, images=12
Characters\Disney Stories\2016 Moana,processed,tiles=20, images=15
Characters\Disney Stories\2016 Zootopia,processed,tiles=20, images=15
Characters\Disney Stories\2017 Coco,processed,tiles=10, images=10
Characters\Disney Stories\2020 Onward,processed,tiles=30, images=13
Characters\Disney Stories\2020 Soul,processed,tiles=10, images=7
Characters\Disney Stories\2021 Encanto,processed,tiles=15, images=14
Characters\Disney Stories\2021 Luca,processed,tiles=10, images=9
Characters\Disney Stories\2021 Raya and The Last Dragon,processed,tiles=10, images=10
Characters\Disney Stories\2022 Strange World,processed,tiles=30, images=12
Characters\Disney Stories\2022 Turning Red,processed,tiles=10, images=9
Characters\Disney Stories\2023 Elemental,processed,tiles=10, images=9
Characters\Disney Stories\2023 Wish,processed,tiles=10, images=9
