020b. radicate
022b. dreadrow
024b. adnocana
028b. sandstormer
038b. decatails
047b. paraslayer
049b. venomage
051b. dugcrater
053b. persovereign
055b. golshaman
059b. arcanarch
073b. tentaking
078b. pegashine
085b. dodread
087b. seacrown
089b. plutox
091b. oysterlord
095a. pebblex
097b. mesmeron
099b. kaiserler
101b. dynastorb
103b. exeggutitan
105b. marrowlord
110b. gaspurg
114a. tanglebud
119b. poseidonich
121b. cosmicstar
123a. scythite
130b. krakados
139b. spiralord
141b. reapertops
162b. mastfur
164b. sageowl
166b. lediastar
168b. arachking
171b. abysslure
178b. totemist
185b. petriwood
195b. siltlord
203a. giraffig
205b. citadell
208b. titanix
210b. garganbull
219b. fortmagma
224b. artillerack
226b. abyssantine
227a. skarmlet
229b. cerberoom
232b. mammophan
262b. direyena
277b. stormtail
279b. galecrest
284b. phantomist
286b. fungoliath
291b. shinobug
297b. yokozunod
301b. regalcatty
308b. zenithite
310b. raihound
317b. gluttonux
319b. megasharp
321b. leviathorn
323b. calderupt
326b. giltusk
332b. saguarnid
334b. stratocloud
340b. catfishake
342b. kaiserdaunt
344b. sentidol
346b. anemolord
348b. anomalore
350b. tidalempress
354b. marionight
358b. cathedralill
362b. glacereign
400b. castorlord
402b. violorchestra
409b. tyrantdome
411b. bastian
416b. hivegloria
419b. tidalking
421b. blossomid
423b. abysslos
424b. quadripom
426b. zeppeloom
428b. harestar
432b. tigerpuff
435b. plagueskunk
437b. bronzepire
450b. dunerant
452b. scorpgator
454b. toxithug
457b. luminempress
460b. yeticel
463b. lickilord
465b. tangrossus
472b. gligoyle
505b. lookoutog
510b. shadowpard
512b. sagesage
514b. searsage
516b. poursage
518b. dreambeast
523b. zebrabolt
528b. swoolove
530b. drillbeast
547b. zephyrcotton
549b. quenelegance
555b. darmaking
558b. continentle
560b. scraboss
563b. pharaohgrigus
565b. archelosta
567b. prehistornis
569b. landfillion
573b. chinchillaise
581b. swanarch
586b. yggdrasbuck
589b. karratitan
591b. sporegoliath
593b. jelliking
596b. galvanid
598b. ferracastle
606b. ufology
614b. glaciadus
617b. shinoband
620b. grandshao
623b. colossurk
628b. valiantcrest
630b. vulturqueen
637b. solarona
660b. diggersboss
668b. pyrowarlord
673b. gogargantuan
675b. pangoliath
678b. meowstige
683b. perfumequeen
685b. slurking
687b. malampire
689b. titanacle
691b. abyssalge
693b. howitzerler
695b. heliosunder
697b. kaisertrum
699b. borealisaurus
709b. yggdradeath
711b. spookumpkin
713b. glacititan
715b. noivoliath
740b. abyssamite
743b. majestifly
745b. lycanlord
748b. basterapex
750b. mudfortress
752b. abyssanid
754b. mantisgloria
756b. shiinotitan
758b. salasovereign
760b. bewarrior
768b. isopodlord
770b. citadelsand
820b. hoardent
828b. foxburglar
830b. gossigloria
832b. batteringwool
834b. dreadnought
836b. zeushound
844b. duneserpent
847b. torpedofish
849b. voltagoon
851b. pyropede
853b. krakfist
855b. teasovereign
863b. berserking
865b. sirknight
869b. grandcream
873b. glacioth
879b. colossajah
899b. yggdrasstag
902b. bascunarch
904b. krakqwil
916b. oinkmaster
918b. spidoss
920b. kamenhopper
925b. mausclan
927b. dachsgrand
936b. armalord
937b. cerulord
939b. belligoliath
941b. voltcondor
943b. gargantiff
945b. grafking
947b. bramblespook
949b. toedsarch
952b. hababanero
954b. sacrab
956b. cleostrich
961b. wugrall
964b. heroicphin
966b. revadread
970b. crystalqueen
972b. gravebound
975b. colossitan
1013b. sinisempress
1018b. archabridge
