"AssetDir","ImageCount","BoardPath","BoardJsonName","BoardImageCount","NeedsWork"
"Characters\Arabian and Middle Eastern Tales","5","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Arabian and Middle Eastern Tales","prebuilt_arabian_middle_eastern_tales.json","0","True"
"Characters\Arthurian Legend","21","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Arthurian Legend","prebuilt_arthurian_legend.json","0","True"
"Characters\Asian Legends and Folklore","14","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Asian Legends and Folklore","prebuilt_asian_legends_folklore.json","0","True"
"Characters\Biblical and Ancient Legendary Figures","12","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Biblical and Ancient Legendary Figures","",,"True"
"Characters\Books","49","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Books","",,"True"
"Characters\Computer Games","87","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Computer Games","prebuilt_computer_games.json","0","True"
"Characters\Creatures and Races","42","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Creatures and Races","",,"True"
"Characters\Famous Monsters and Horror Icons","5","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Famous Monsters and Horror Icons","prebuilt_famous_monsters_horror_icons.json","0","True"
"Characters\Heroes and Monsters (Greek and Roman)","37","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Heroes and Monsters (Greek and Roman)","prebuilt_heroes_monsters_greek_roman.json","0","True"
"Characters\Legendary Heroes and Folk Heroes","16","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Legendary Heroes and Folk Heroes","prebuilt_legendary_heroes_folk_heroes.json","0","True"
"Characters\Literary and Gothic Characters","28","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Literary and Gothic Characters","prebuilt_literary_gothic_characters.json","0","True"
"Characters\Robin Hood and English Folklore","10","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Robin Hood and English Folklore","",,"True"
"Characters\Star Trek","14","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Star Trek","prebuilt_star_trek.json","0","True"
"Characters\Star Wars","50","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\Star Wars","prebuilt_star_wars.json","0","True"
"Characters\The Lord Of The Rings","4","C:\Users\Craig\Downloads\Charlie Chat\lib\data\boards\Legends\Characters\The Lord Of The Rings","prebuilt_the_lord_of_the_rings.json","0","True"
